"","taxon","mean.difference (yCRC(Fudan cohort) - yControl(Fudan cohort))","se (yCRC(Fudan cohort) - yControl(Fudan cohort))","W","p.val","q.val","diff.abn"
"1","Dialister",-0.783322192791475,0.30607292079315,-2.55926656550208,0.0104893275608555,1,FALSE
"2","Acidaminococcus",0.0306467762265302,0.157454963989372,0.194638361662569,0.845676069091845,1,FALSE
"3","Clostridium_XI",-0.0405906683052837,0.153451249372507,-0.264518330552974,0.791380541941807,1,FALSE
"4","Rothia",-0.272560703116484,0.174036031897322,-1.56611651130548,0.117321343322685,1,FALSE
"5","Anaerostipes",-0.89708250809012,0.249188877843614,-3.600010224586,0.000318204667657545,0.0372299461159328,TRUE
"6","Anaerotruncus",0.189412957086424,0.126988012146852,1.49158140114346,0.135808916953663,1,FALSE
"7","Coprobacillus",-0.0982573486490256,0.110301553178925,-0.890806573590476,0.373032947968446,1,FALSE
"8","Senegalimassilia",0.10949079413644,0.166944109007061,0.65585299647686,0.511918713619248,1,FALSE
"9","Parabacteroides",-0.23208219013319,0.235226282992503,-0.986633751894923,0.323822217712599,1,FALSE
"10","Holdemania",0.0373251146240412,0.126921143134223,0.294081141268707,0.768695901137938,1,FALSE
"11","Ruminococcus2",-0.909388116724748,0.22289057120129,-4.07997571105639,4.50404067602844e-05,0.00526972759095327,TRUE
"12","Erysipelotrichaceae_incertae_sedis",-0.0809730996870388,0.182168026480806,-0.444496771751383,0.656683462332258,1,FALSE
"13","Roseburia",-0.521469949479716,0.282440783474135,-1.84629833930294,0.06484889875943,1,FALSE
"14","Coprococcus",-0.498273994631335,0.265595027636918,-1.87606672860043,0.0606461176461284,1,FALSE
"15","Pseudomonas",-0.159094598504494,0.138314318604047,-1.15023954215424,0.250045224028328,1,FALSE
"16","Lactococcus",-0.0839229375431675,0.127163718732197,-0.659959761949923,0.509279651553153,1,FALSE
"17","Corynebacterium",-0.561120902007353,0,Inf,0,0,TRUE
"18","Lactobacillus",-0.611363044371348,0.199323075651708,-3.06719652189006,0.00216076746422204,0.252809793313979,FALSE
"19","Novosphingobium",0.0795491797702987,0.0721448326576537,1.10263170403043,0.270187136404941,1,FALSE
"20","Lachnoanaerobaculum",0.0950741874353974,0.113694549932543,0.83622466944815,0.403028522589865,1,FALSE
"21","Sphingomonas",0.195475732329101,0.082777670099515,2.36145487175588,0.0182033873101522,1,FALSE
"22","Olsenella",0.208196025994834,0.131567161732015,1.58243153727753,0.113551089925914,1,FALSE
"23","Fusobacterium",1.62082950722511,0.25733084412532,6.29862118835537,3.00304890205036e-10,3.51356721539892e-08,TRUE
"24","Collinsella",-0.741755568248093,0.257168478143931,-2.88431760222554,0.00392262920241159,0.458947616682157,FALSE
"25","Enterococcus",0.0256158507336268,0.1937660009914,0.132199924664615,0.894826160707546,1,FALSE
"26","Atopobium",-0.0190508767008652,0.143720339123528,-0.132555188897035,0.89454517366321,1,FALSE
"27","Enterobacter",-0.557220820586116,0.175697330085775,-3.17148143522775,0.0015166356170307,0.177446367192591,FALSE
"28","Dorea",-0.770921589738853,0.237768953314572,-3.24231393120074,0.00118563341078923,0.13871910906234,FALSE
"29","Gardnerella",-0.376414813875226,0,Inf,0,0,TRUE
