,W,reject
Dialister,57,False
Acidaminococcus,22,False
Clostridium_XI,29,False
Catenibacterium,13,False
Rothia,35,False
Anaerostipes,195,False
Paraeggerthella,184,False
Anaerotruncus,191,False
Coprobacillus,69,False
Treponema,89,False
Serratia,75,False
Senegalimassilia,40,False
Alloscardovia,91,False
Parabacteroides,28,False
Holdemania,51,False
Ruminococcus2,192,False
Comamonas,56,False
Erysipelotrichaceae_incertae_sedis,16,False
Roseburia,16,False
Coprococcus,15,False
Pseudomonas,48,False
Bulleidia,67,False
Sphingobium,52,False
Lactococcus,51,False
Corynebacterium,228,False
Lactobacillus,210,False
Catonella,148,False
Novosphingobium,53,False
Oceanobacillus,188,False
Lachnoanaerobaculum,49,False
Sphingomonas,43,False
Olsenella,87,False
Fusobacterium,272,True
Vibrionimonas,83,False
Collinsella,11,False
Enterococcus,20,False
Anaerosporobacter,88,False
Atopobium,32,False
Enterobacter,232,False
Dorea,20,False
Pseudobutyrivibrio,44,False
Gardnerella,181,False
Vagococcus,103,False
Herbaspirillum,73,False
Adlercreutzia,191,False
Schlegelella,198,False
Methanobrevibacter,50,False
Leptotrichia,98,False
Aggregatibacter,74,False
Burkholderia,55,False
Propionibacterium,194,False
Peptostreptococcus,277,True
Clostridium_III,187,False
Haemophilus,256,True
Eikenella,175,False
Kluyvera,47,False
Clostridium_XVIII,14,False
Clostridium_XlVb,47,False
Leuconostoc,171,False
Succinivibrio,61,False
Pseudoflavonifractor,51,False
Weissella,34,False
Mobilitalea,87,False
Howardella,225,False
Parvimonas,279,True
Holdemanella,26,False
Ruminococcus,31,False
Hydrogenophaga,36,False
Asaccharobacter,43,False
Gemella,122,False
Vogesella,66,False
Abiotrophia,33,False
Akkermansia,16,False
Parasutterella,216,False
Arthrobacter,192,False
Rhodopseudomonas,110,False
Aeromonas,112,False
Alistipes,72,False
Neisseria,66,False
Acinetobacter,195,False
Rummeliibacillus,66,False
Hungatella,41,False
Acetatifactor,165,False
Allobaculum,204,False
Cetobacterium,106,False
Lachnospiracea_incertae_sedis,195,False
Pelomonas,53,False
Helicobacter,223,False
Actinomyces,244,False
Staphylococcus,200,False
Oscillibacter,92,False
Microbacterium,78,False
Citrobacter,184,False
Arcanobacterium,103,False
Gordonibacter,58,False
Obesumbacterium,68,False
Caulobacter,47,False
Eubacterium,219,False
Plesiomonas,59,False
Acetanaerobacterium,30,False
Veillonella,54,False
Stenotrophomonas,214,False
Enterorhabdus,75,False
Clostridium_sensu_stricto,261,True
Campylobacter,174,False
Anaerosalibacter,152,False
Blautia,243,False
Finegoldia,44,False
Buttiauxella,180,False
Solibacillus,117,False
Peptococcus,64,False
Delftia,134,False
Escherichia/Shigella,259,True
Devosia,45,False
Enhydrobacter,167,False
Mucispirillum,101,False
Negativicoccus,76,False
Scardovia,50,False
Alloprevotella,16,False
Paracoccus,156,False
Methyloversatilis,46,False
Porphyromonas,272,True
Lautropia,141,False
Ezakiella,55,False
Sphingosinicella,58,False
Bifidobacterium,20,False
Flavisolibacter,55,False
Intestinimonas,129,False
Lacibacterium,103,False
Phyllobacterium,67,False
Dolosigranulum,91,False
Pediococcus,87,False
Robinsoniella,103,False
Bacillus,111,False
Intestinibacter,36,False
Faecalitalea,85,False
Oribacterium,29,False
Shinella,61,False
Flavonifractor,79,False
Shewanella,90,False
Deinococcus,103,False
Megamonas,204,False
Rikenella,82,False
Butyricicoccus,65,False
Varibaculum,103,False
Rhodococcus,130,False
Brachybacterium,183,False
Psychrobacter,64,False
Terrisporobacter,77,False
Diaphorobacter,80,False
Streptobacillus,89,False
Sphaerotilus,90,False
Succiniclasticum,103,False
Sneathia,66,False
Pseudochrobactrum,85,False
Vulcaniibacterium,135,False
Ramlibacter,54,False
Stomatobaculum,71,False
Micrococcus,128,False
Gemmiger,69,False
Limnohabitans,84,False
Undibacterium,71,False
Tepidimonas,136,False
Turicibacter,14,False
Propionispira,69,False
Barnesiella,18,False
Shuttleworthia,91,False
Murdochiella,77,False
Faecalicoccus,59,False
Eisenbergiella,265,True
Ornatilinea,103,False
Flavobacterium,103,False
Sporobacter,210,False
Christensenella,112,False
Odoribacter,96,False
Sphingobacterium,82,False
Brevibacterium,137,False
Cloacibacillus,67,False
Mogibacterium,35,False
Morganella,146,False
Succinatimonas,103,False
Empedobacter,85,False
Coprothermobacter,138,False
Curvibacter,63,False
Catabacter,85,False
Parvibacter,108,False
Cellvibrio,119,False
Hydrogenoanaerobacterium,185,False
Gemmatimonas,92,False
Bilophila,41,False
Cronobacter,270,True
Allisonella,55,False
Rhizobacter,72,False
Sphingopyxis,65,False
Massilia,103,False
Actinotignum,92,False
Pseudoruegeria,103,False
Dietzia,90,False
Eggerthella,14,False
Thauera,128,False
Filifactor,211,False
Gluconacetobacter,103,False
Tepidimicrobium,114,False
Nitrospira,119,False
Thermomonas,67,False
Roseomonas,111,False
Eggerthia,88,False
Selenomonas,208,False
Pseudocitrobacter,138,False
Tsukamurella,120,False
Granulicatella,23,False
Thiothrix,74,False
Yaniella,109,False
Bosea,52,False
Klebsiella,208,False
Photobacterium,103,False
Acidovorax,65,False
Streptococcus,29,False
Proteus,49,False
Porphyrobacter,109,False
Exiguobacterium,63,False
Carnobacterium,65,False
Brevundimonas,15,False
Providencia,73,False
Schwartzia,83,False
Mobiluncus,82,False
Ethanoligenens,106,False
Pedobacter,74,False
Anaerofilum,47,False
Anoxybacillus,108,False
Blastococcus,114,False
Murimonas,57,False
Fretibacterium,57,False
Chryseobacterium,74,False
Parascardovia,92,False
Limnobacter,57,False
Anaeroglobus,166,False
Victivallis,115,False
Methylophaga,58,False
Aeromicrobium,63,False
Desulfovibrio,17,False
Celeribacter,79,False
Cellulosilyticum,103,False
Paraprevotella,25,False
Luteolibacter,73,False
Faecalibacterium,56,False
Clostridium_XlVa,207,False
Sandaracinobacter,83,False
Methylophilus,92,False
Sphingorhabdus,69,False
Kocuria,109,False
