group,Dialister,Acidaminococcus,Clostridium_XI,Catenibacterium,Rothia,Anaerostipes,Paraeggerthella,Anaerotruncus,Coprobacillus,Treponema,Serratia,Senegalimassilia,Alloscardovia,Parabacteroides,Holdemania,Ruminococcus2,Comamonas,Erysipelotrichaceae_incertae_sedis,Roseburia,Coprococcus,Pseudomonas,Bulleidia,Sphingobium,Lactococcus,Corynebacterium,Lactobacillus,Catonella,Novosphingobium,Oceanobacillus,Lachnoanaerobaculum,Sphingomonas,Olsenella,Fusobacterium,Vibrionimonas,Collinsella,Enterococcus,Anaerosporobacter,Atopobium,Enterobacter,Dorea,Pseudobutyrivibrio,Gardnerella,Vagococcus,Herbaspirillum,Adlercreutzia,Schlegelella,Methanobrevibacter,Leptotrichia,Aggregatibacter,Burkholderia,Propionibacterium,Peptostreptococcus,Clostridium_III,Haemophilus,Eikenella,Kluyvera,Clostridium_XVIII,Clostridium_XlVb,Leuconostoc,Succinivibrio,Pseudoflavonifractor,Weissella,Mobilitalea,Howardella,Parvimonas,Holdemanella,Ruminococcus,Hydrogenophaga,Asaccharobacter,Gemella,Vogesella,Abiotrophia,Akkermansia,Parasutterella,Arthrobacter,Rhodopseudomonas,Aeromonas,Alistipes,Neisseria,Acinetobacter,Rummeliibacillus,Hungatella,Acetatifactor,Allobaculum,Cetobacterium,Lachnospiracea_incertae_sedis,Pelomonas,Helicobacter,Actinomyces,Staphylococcus,Oscillibacter,Microbacterium,Citrobacter,Arcanobacterium,Gordonibacter,Obesumbacterium,Caulobacter,Eubacterium,Plesiomonas,Acetanaerobacterium,Veillonella,Stenotrophomonas,Enterorhabdus,Clostridium_sensu_stricto,Campylobacter,Anaerosalibacter,Blautia,Finegoldia,Buttiauxella,Solibacillus,Peptococcus,Delftia,Escherichia/Shigella,Devosia,Enhydrobacter,Mucispirillum,Negativicoccus,Scardovia,Alloprevotella,Paracoccus,Methyloversatilis,Porphyromonas,Lautropia,Ezakiella,Sphingosinicella,Bifidobacterium,Flavisolibacter,Intestinimonas,Lacibacterium,Phyllobacterium,Dolosigranulum,Pediococcus,Robinsoniella,Bacillus,Intestinibacter,Faecalitalea,Oribacterium,Shinella,Flavonifractor,Shewanella,Deinococcus,Megamonas,Rikenella,Butyricicoccus,Varibaculum,Rhodococcus,Brachybacterium,Psychrobacter,Terrisporobacter,Diaphorobacter,Streptobacillus,Sphaerotilus,Succiniclasticum,Sneathia,Pseudochrobactrum,Vulcaniibacterium,Ramlibacter,Stomatobaculum,Micrococcus,Gemmiger,Limnohabitans,Undibacterium,Tepidimonas,Turicibacter,Propionispira,Barnesiella,Shuttleworthia,Murdochiella,Faecalicoccus,Eisenbergiella,Ornatilinea,Flavobacterium,Sporobacter,Christensenella,Odoribacter,Sphingobacterium,Brevibacterium,Cloacibacillus,Mogibacterium,Morganella,Succinatimonas,Empedobacter,Coprothermobacter,Curvibacter,Catabacter,Parvibacter,Cellvibrio,Hydrogenoanaerobacterium,Gemmatimonas,Bilophila,Cronobacter,Allisonella,Rhizobacter,Sphingopyxis,Massilia,Actinotignum,Pseudoruegeria,Dietzia,Eggerthella,Thauera,Filifactor,Gluconacetobacter,Tepidimicrobium,Nitrospira,Thermomonas,Roseomonas,Eggerthia,Selenomonas,Pseudocitrobacter,Tsukamurella,Granulicatella,Thiothrix,Yaniella,Bosea,Klebsiella,Photobacterium,Acidovorax,Streptococcus,Proteus,Porphyrobacter,Exiguobacterium,Carnobacterium,Brevundimonas,Providencia,Schwartzia,Mobiluncus,Ethanoligenens,Pedobacter,Anaerofilum,Anoxybacillus,Blastococcus,Murimonas,Fretibacterium,Chryseobacterium,Parascardovia,Limnobacter,Anaeroglobus,Victivallis,Methylophaga,Aeromicrobium,Desulfovibrio,Celeribacter,Cellulosilyticum,Paraprevotella,Luteolibacter,Faecalibacterium,Clostridium_XlVa,Sandaracinobacter,Methylophilus,Sphingorhabdus,Kocuria,Achromobacter,Lysinibacillus,Actinobacillus,Mitsuokella,Gluconobacter,Anaerococcus,Bacteroides,Clostridium_IV,Methylobacterium,Prevotella,Phascolarctobacterium,Solobacterium,Sutterella,Fusicatenibacter,Tissierella,Sediminibacterium,Ralstonia,Peptostreptococcaceae_incertae_sedis,Megasphaera,Oxalobacter,Raoultella,Romboutsia,Bradyrhizobium,Mycoplasma,Butyrivibrio,Coprobacter,Cloacibacterium,Butyricimonas,Pyramidobacter,Slackia,Lactonifactor,Peptoniphilus
yCRC(Fudan cohort),0,0,0,0,0.030873726,0.005145621,0,0,0,0,0,0,0,0,0,0,0,0,0.072038695,0,0.092621179,0,0.005145621,0,0,0.051456211,0,0,0,0.005145621,0.005145621,0,0.005145621,0,0,0.020582484,0,0.020582484,0.036019348,0,0,0,0,0.005145621,0,0,0,0,0,0.036019348,0,0,0,0,0,0,0.030873726,0,0,0,0,0,0,0,0.020582484,0,0,0.030873726,0,0.041164969,0,0.030873726,0,0,0,0,0,0,0,0.005145621,0,0,0,0,0,0.257281054,0,0,0.04631059,0,0,0,0.015436863,0,0,0,0,0,0,0,0.164659874,0,0,0.020582484,0,0,0,0,0,0,0,0,11.08881342,0.04631059,0,0,0,0,0.005145621,0,0.04631059,0,0,0,0,2.81980035,0.015436863,0,0,0.005145621,0,0,0,0,0.030873726,0,0.113203664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010291242,0.015436863,0,0.005145621,0,0,0,9.184933621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015436863,0,0.005145621,0.005145621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066893074,0,0,0.010291242,63.56900278,0,0,9.256972317,0,0,0,0,1.569414428,0,0,0,0,0.005145621,0,0,0,0,0,0,0,0.005145621,0,0,0,0,0,0,0,0,0,0,0.020582484,0,0,0,0,0.005145621,0,0,0,0,0,0,0,0,0,0.005145621,0,0,0,0,0,0.005145621,0,0,0,0.082329937,0.931357415,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,0.033961623,0.424520292,0,0.339616234,0,0,0,0,0,1.91883172,0.135846493,0.475462727,0,0.050942435,2.682968246,0,0.016980812,0,0,0,0,0,0,0,0,0.016980812,0,0,0.033961623,0,7.131940907,0.067923247,0,0.016980812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016980812,0,0,0.390558669,0.883002208,0,0,0.016980812,0,0,0,0,0,15.29971133,0,0,0,0,0,0,0,0,0,0,2.530140941,0,0,0,0.254712175,0,0,0,3.820682629,0,0,0,0,0.475462727,0,0,0,0.10188487,0,0,0.645270844,0,0,0,0,0,0,0,0,1.782985227,0,0,0,0,0,0.067923247,0.016980812,0,0,0,0,0,0,0,0,0,0,0,11.83562574,0,0.288673799,0,0,0,0,0,0,0.30565461,0,0,0,0.849040584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237731364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016980812,0,0,0,0,0.050942435,0.067923247,0,0,0,0,0,0,0,1.120733571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084904058,0,0,0.271692987,0,0,0,0,0.050942435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92800136,10.27339107,0,0,0,0,0,0,0,0,0,0,14.72236373,0.458481915,0,0,1.850908473,0,0.10188487,1.137714383,0,0,0.033961623,0,0,0,0,0.10188487,0.016980812,0,0,0,0,0.50942435,0,0,0,0.033961623
yCRC(Fudan cohort),0.309222909,0,0,0,0.013444474,0.147889218,0,0,0,0,0,0,0,1.331002958,0,0.295778435,0,0,13.37725195,2.379671955,0,0,0,0,0,0,0,0,0,0,0,0,0.013444474,0,0.59155687,0,0,0.013444474,0,1.290669535,0.134444743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215111589,1.021780048,0,0,0,0.013444474,0,0,0,0,0.779779511,0,0,0,0,0,0.134444743,0.228556063,0,0,0,0.322667384,0,0,0,0.026888949,0,0,0,0.941113202,0,0,0,0,0.981446625,0,0,0,0,0,0,0.067222372,0,0,0,0,0,0,0,0,0.59155687,0,0,0,0,0,0.295778435,0,0,0,0,0,0,0,0,0,0,0,0,0.242000538,0,0.242000538,0,0,0,0,0,0,0.040333423,0,0,0,0.228556063,0,0,24.69749933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.809895133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376445281,0.510890024,0,0,0,0,0,0,0,0.013444474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026888949,0,0,0,0,0.013444474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268889486,0,0,0,0,3.347674106,5.364345254,0,0,0,0,0,0,0,0,0,0,31.75584835,0.107555795,0,0,0,0,1.021780048,3.36111858,0,0,0,0,0,0.026888949,0,0.026888949,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),1.785714286,0,0,0,0,0.036443149,0,0.036443149,0,0,0,0.145772595,0,0.303692906,0.012147716,1.044703596,0.036443149,0,5.940233236,1.943634597,0,0,0,0,0,0.109329446,0,0,0,0.012147716,0,0,0.072886297,0,0.024295432,0,0,0.012147716,0,0.29154519,0,0.072886297,0,0,0,0,0,0.024295432,0,0,0,0.036443149,0,0.036443149,0,0,0.121477162,0.801749271,0,0,0.036443149,0,0,0,0,0,9.220116618,0,0,0,0,0,0,0.012147716,0,0,0,1.28765792,0,0,0,0,0,0,0,5.369290573,0,0,0,0,2.101554908,0,0,0,0,0,0,0.400874636,0,0,0.024295432,0,0,0.036443149,0,0,0.485908649,0,0,0,0,0,0.060738581,0,0,0,0,0,0,0,0,0,0,0,0,1.834305151,0,0.19436346,0,0,0,0,0,0,0.09718173,0,0,0,0.024295432,0,0,1.955782313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.062196307,0,0,0,0.012147716,0,0,0,0,0,0,0,0,0,0,0.461613217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121477162,0.060738581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012147716,0,0,0,0,0,0,0,0,0,0.012147716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.10398445,1.336248785,0,0,0,0,0,0,0,0,0,0,2.295918367,0.09718173,0,32.62876579,0,0,0.242954325,0.352283771,0,0,0,0,0,0,0,0.024295432,0,0,0,0,0,0.024295432,0.109329446,0,0,0
yCRC(Fudan cohort),0.015062509,0,0,6.989004368,0.030125019,0.030125019,0,0.030125019,0,0,0,0.015062509,0,0.662750414,0,0.451875282,0,0,14.44494653,5.708691068,0,0,0,0,0,0.030125019,0,0,0,0,0,0,0,0,0.361500226,0,0,0,0,0.361500226,0.015062509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497062811,0.241000151,0,0,0,0,0,0.030125019,0,0.105437566,1.491188432,0,0,0,0,0,0,0.120500075,0,0,0,0.225937641,0,0,0,0,0,0,0,6.145503841,0,0,0,0,7.335442085,0,0,0,0.015062509,0,0,2.349751469,0,0.813375508,0,0,0,0.466937792,0,0,0.692875433,0,0,0,0,0,0,0,0,0,0,0,1.988251243,0,0,0,0,0,0,0.813375508,0,0.060250038,0,0,0,0,0,0,0,0,0,0,0.060250038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.379876487,0,0,0,0,0,0.105437566,0,0,0,0,0,0,0.030125019,0,0.075312547,0,0,0,0.015062509,0,0,0,0,0,0,0,0,0.030125019,0,0.015062509,0.015062509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120500075,0,0,0,0,0.015062509,0,0,0,0,0,0.015062509,0,0,0,0,0,0,0,0,0,0,0,0.361500226,0,0,0.225937641,0,26.49495406,3.374002109,0,0,0,0,0,0,0,0,0,0,2.06356379,0.662750414,0,8.209067631,2.666064166,0,0.015062509,0.25606266,0,0,0,0,0,0.015062509,0,0,0,0,0,0,0,0.195812622,0,0.045187528,0,0
yCRC(Fudan cohort),9.967300472,0,0,0.012110936,0.012110936,0.012110936,0,0.012110936,0,0,0,0,0,1.707642001,0.024221872,0.15744217,0,0,9.301198983,0.993096766,0,0,0,0,0,0,0,0,0,0,0,0,0.072665617,0,0.193774979,0,0,0,0,0.908320213,0,0,0,0,0,0,0,0.024221872,0,0,0,0.108998426,0,0,0,0,1.138428,0.702434298,0,0,0,0.012110936,0,0,0.072665617,0,1.102095192,0,0,0.036332809,0,0,0,3.342618384,0,0,0,0.956763958,0,0,0,0.024221872,0,0,0,1.586532639,0,0,0,0,3.754390214,0,0,0,0,0,0,0.617657745,0,0,0,0,0,0.012110936,0,0,0.314884341,0,0,0,0,0,2.555407533,0,0,0,0,0,0,0,0,0.036332809,0,0.012110936,0,4.202494853,0,0.339106213,0,0,0,0,0,0,0.702434298,0,0.024221872,0,0.230107787,0,0,6.527794599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501877195,0,0,0,0,0,0,0,0,0,0.012110936,0,0,0,0,0.108998426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266440596,0.108998426,0.435993702,0,0,0,0,0,0,0.012110936,0,0.036332809,0,0,0,0,0,0,0.012110936,0,0,0,0,0,0,0.012110936,0,0,0.024221872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107302895,0,0,0,0,21.13358363,2.991401235,0,0,0,0,0,0,0,0,0,0,9.797747366,0.242218724,0,1.513867022,0.15744217,0.012110936,0,0.169553106,0,0,0,0,0,0,0,0.024221872,0,0,0,0,0,0.508659319,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,0,0.27796496,0,0,0,0,0,0,0,0.387466307,0,0.682277628,0,0.016846361,16.07985175,0.109501348,0,0,0,0,0,0,0,0,0,0,0,0,3.217654987,0,0.185309973,0,0,0,0,0.623315364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160040431,0,0,1.255053908,0.977088949,0,0,0.058962264,0.008423181,0,0,0,0,0,0,0,0,0,0,0,1.187668464,0,0,0,0.084231806,0,0,0,0.016846361,0,0,0,7.698787062,0,0,0.008423181,0,0,0,0.008423181,0,0,0,0,0.631738544,0,0,0.160040431,0,0,0,0,0,1.078167116,0,0,0,0,0,0.311657682,0,0,0,0,0,0,0,0,0,0,0,0,0.050539084,0,0,0,0,0,0,0,0,0,0,0.008423181,0,0.353773585,0,0,0,0,0.496967655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008423181,0,0.539083558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075808625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084231806,0.160040431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.215296496,0,0,0,0,0.025269542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665431267,0,12.83692722,11.36287062,0,0,0,0,0,0,0,0,0,0,29.54009434,0.101078167,0,0.016846361,5.205525606,0,0,0.99393531,0,0,0.025269542,0,0,0,0,0,0,0,0,0,0,0.008423181,0,0,0,0
yCRC(Fudan cohort),0.479652252,0,0,0,0.022483699,1.551375253,0,0.007494566,0,0,0,0.329760923,0,0.974293637,0.007494566,0.846886008,0,0.007494566,13.34782283,0.352244623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052461965,0,0,0.052461965,0.022483699,0.389717455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082440231,0,0,0.457168553,0.382222888,0,0,0.044967399,0,0,0,0,0,3.207674436,0,0,0.007494566,0,0,0,0,0,0,0,0.494641385,0,0,0,0.022483699,0,0,0,7.824327363,0,0,0.014989133,0,1.274076295,0,0,0,0.029978266,0,0,0.764445777,0,0,0.65202728,0,0,0.037472832,0,0,0.734467511,0,0,0,0,0,0.022483699,0.029978266,0,0,0,0,0,0,0,0,0,0,0,2.308326463,0,0.172375028,0,0,0,0,0,0,0,0,0,0,0.254815259,0,0,0.037472832,0,0,0,0,0,0,0.007494566,0,0,0,0,0,0,0,0,0,0,1.041744735,0,0,0,0,0,1.034250169,0,0,0,0.037472832,0,0,0,0,0.052461965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31477179,0.014989133,0,0,0,0,0,0,0,0.022483699,0,0,0,0,0,0,0,0,0,0,0,0.014989133,0,0,0,0.022483699,0,0,0.539608784,0,0,0,0,0.029978266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53638612,0,40.07344675,2.450723226,0,0,0,0,0.007494566,0,0,0,0,0,7.15731095,2.997826576,0,0,0,0,0.682005546,4.3993105,0,0,0.014989133,0,0.014989133,0,0,0.134902196,0,0,0,0,0,0.097429364,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,0,0.114942529,0,0,0,0,0.007183908,0,0,0.07183908,0,0.359195402,0,0,28.77873563,0.423850575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352011494,0,0,0,1.020114943,0.466954023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0.021551724,0.732758621,0.107758621,0,0,0,0,0,0,0,0,1.954022989,0,0,0,0,0,0,0,0,0,0,0.064655172,0,0,0,0,0,0,0,14.79885057,0,0,0.007183908,0,0.114942529,0,0,0,0,0,0,1.005747126,0,0,0.007183908,0,0,0.818965517,0,0,0.359195402,0,0,0,0,0,0.03591954,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0.043103448,0,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.745689655,0,0,0,0.014367816,0,0.03591954,0,0,0,0.007183908,0,0,0,0,0.007183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007183908,0,0,0,0,0,0,0,0.007183908,0,0,0,0,0,0,0,0,0,0,0,0.014367816,0,0,0,9.015804598,0,0,0.028735632,0.043103448,0,0,0,0.021551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007183908,0,24.34626437,1.472701149,0,0,0,0,0,0,0,0,0,0,1.522988506,0.107758621,0,0.007183908,0.215517241,0,0.229885057,0.632183908,0,0,0,0,0,0,0,0.03591954,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),0.414041404,0,0,0,0,0.432043204,0.072007201,0,0,0,0.0180018,0,0,1.800180018,0.0180018,4.230423042,0,0.810081008,0.342034203,0.612061206,0.0180018,0,0,0,0,0.144014401,0,0,0,0.0180018,0.0180018,0,0,0,1.00810081,0.234023402,0,0,0.270027003,0.756075608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180018,0,0,0.126012601,0,0,0,0,0.090009001,0,0,0,0,0.054005401,0,0.0180018,0,0,0,0,0,0,0,0,0.198019802,0,0,0,0,0,0,0,7.092709271,0,0,0.054005401,0,0.144014401,0,0.054005401,0,0,0,0,0.0360036,0.0180018,0,0.0360036,0,0,0.0180018,0,0,3.744374437,0,0,0,0,0,16.25562556,0.054005401,0,0,0,0,0,0,0,0,0,0,0,16.25562556,0,0,0,0,0,0,0,0,0.0180018,0,0,0,0.0360036,0,0,0.234023402,0,0,0,0,0,0,0.0180018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054005401,0,0,0,0,0,0,0,0,0,0,0.144014401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072007201,8.460846085,0.666066607,0,0,0,0,0,0,0.180018002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.178217822,0,0,4.788478848,0,0,0,0,0.072007201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.150315032,5.814581458,0,0,0,0,0,0,0,0,0,0,15.62556256,0.072007201,0,0.0180018,0,0,0.072007201,2.484248425,0,0,0.054005401,0,0,0,0,0.270027003,0.0180018,0,0,0,0,0.0180018,0,0,0,0
