group,Dialister,Acidaminococcus,Clostridium_XI,Catenibacterium,Rothia,Anaerostipes,Paraeggerthella,Anaerotruncus,Coprobacillus,Treponema,Serratia,Senegalimassilia,Alloscardovia,Parabacteroides,Holdemania,Ruminococcus2,Comamonas,Erysipelotrichaceae_incertae_sedis,Roseburia,Coprococcus,Pseudomonas,Bulleidia,Sphingobium,Lactococcus,Corynebacterium,Lactobacillus,Catonella,Novosphingobium,Oceanobacillus,Lachnoanaerobaculum,Sphingomonas,Olsenella,Fusobacterium,Vibrionimonas,Collinsella,Enterococcus,Anaerosporobacter,Atopobium,Enterobacter,Dorea,Pseudobutyrivibrio,Gardnerella,Vagococcus,Herbaspirillum,Adlercreutzia,Schlegelella,Methanobrevibacter,Leptotrichia,Aggregatibacter,Burkholderia,Propionibacterium,Peptostreptococcus,Clostridium_III,Haemophilus,Eikenella,Kluyvera,Clostridium_XVIII,Clostridium_XlVb,Leuconostoc,Succinivibrio,Pseudoflavonifractor,Weissella,Mobilitalea,Howardella,Parvimonas,Holdemanella,Ruminococcus,Hydrogenophaga,Asaccharobacter,Gemella,Vogesella,Abiotrophia,Akkermansia,Parasutterella,Arthrobacter,Rhodopseudomonas,Aeromonas,Alistipes,Neisseria,Acinetobacter,Rummeliibacillus,Hungatella,Acetatifactor,Allobaculum,Cetobacterium,Lachnospiracea_incertae_sedis,Pelomonas,Helicobacter,Actinomyces,Staphylococcus,Oscillibacter,Microbacterium,Citrobacter,Arcanobacterium,Gordonibacter,Obesumbacterium,Caulobacter,Eubacterium,Plesiomonas,Acetanaerobacterium,Veillonella,Stenotrophomonas,Enterorhabdus,Clostridium_sensu_stricto,Campylobacter,Anaerosalibacter,Blautia,Finegoldia,Buttiauxella,Solibacillus,Peptococcus,Delftia,Escherichia/Shigella,Devosia,Enhydrobacter,Mucispirillum,Negativicoccus,Scardovia,Alloprevotella,Paracoccus,Methyloversatilis,Porphyromonas,Lautropia,Ezakiella,Sphingosinicella,Bifidobacterium,Flavisolibacter,Intestinimonas,Lacibacterium,Phyllobacterium,Dolosigranulum,Pediococcus,Robinsoniella,Bacillus,Intestinibacter,Faecalitalea,Oribacterium,Shinella,Flavonifractor,Shewanella,Deinococcus,Megamonas,Rikenella,Butyricicoccus,Varibaculum,Rhodococcus,Brachybacterium,Psychrobacter,Terrisporobacter,Diaphorobacter,Streptobacillus,Sphaerotilus,Succiniclasticum,Sneathia,Pseudochrobactrum,Vulcaniibacterium,Ramlibacter,Stomatobaculum,Micrococcus,Gemmiger,Limnohabitans,Undibacterium,Tepidimonas,Turicibacter,Propionispira,Barnesiella,Shuttleworthia,Murdochiella,Faecalicoccus,Eisenbergiella,Ornatilinea,Flavobacterium,Sporobacter,Christensenella,Odoribacter,Sphingobacterium,Brevibacterium,Cloacibacillus,Mogibacterium,Morganella,Succinatimonas,Empedobacter,Coprothermobacter,Curvibacter,Catabacter,Parvibacter,Cellvibrio,Hydrogenoanaerobacterium,Gemmatimonas,Bilophila,Cronobacter,Allisonella,Rhizobacter,Sphingopyxis,Massilia,Actinotignum,Pseudoruegeria,Dietzia,Eggerthella,Thauera,Filifactor,Gluconacetobacter,Tepidimicrobium,Nitrospira,Thermomonas,Roseomonas,Eggerthia,Selenomonas,Pseudocitrobacter,Tsukamurella,Granulicatella,Thiothrix,Yaniella,Bosea,Klebsiella,Photobacterium,Acidovorax,Streptococcus,Proteus,Porphyrobacter,Exiguobacterium,Carnobacterium,Brevundimonas,Providencia,Schwartzia,Mobiluncus,Ethanoligenens,Pedobacter,Anaerofilum,Anoxybacillus,Blastococcus,Murimonas,Fretibacterium,Chryseobacterium,Parascardovia,Limnobacter,Anaeroglobus,Victivallis,Methylophaga,Aeromicrobium,Desulfovibrio,Celeribacter,Cellulosilyticum,Paraprevotella,Luteolibacter,Faecalibacterium,Clostridium_XlVa,Sandaracinobacter,Methylophilus,Sphingorhabdus,Kocuria,Achromobacter,Lysinibacillus,Actinobacillus,Mitsuokella,Gluconobacter,Anaerococcus,Bacteroides,Clostridium_IV,Methylobacterium,Prevotella,Phascolarctobacterium,Solobacterium,Sutterella,Fusicatenibacter,Tissierella,Sediminibacterium,Ralstonia,Peptostreptococcaceae_incertae_sedis,Megasphaera,Oxalobacter,Raoultella,Romboutsia,Bradyrhizobium,Mycoplasma,Butyrivibrio,Coprobacter,Cloacibacterium,Butyricimonas,Pyramidobacter,Slackia,Lactonifactor,Peptoniphilus
yCRC(Fudan cohort),0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,1,0,0,10,0,0,0,1,1,0,1,0,0,4,0,4,7,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,6,0,8,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,9,0,0,0,3,0,0,0,0,0,0,0,32,0,0,4,0,0,0,0,0,0,0,0,2155,9,0,0,0,0,1,0,9,0,0,0,0,548,3,0,0,1,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,12354,0,0,1799,0,0,0,0,305,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,181,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,2,25,0,20,0,0,0,0,0,113,8,28,0,3,158,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,420,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,52,0,0,1,0,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,149,0,0,0,15,0,0,0,225,0,0,0,0,28,0,0,0,6,0,0,38,0,0,0,0,0,0,0,0,105,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,697,0,17,0,0,0,0,0,0,18,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,605,0,0,0,0,0,0,0,0,0,0,867,27,0,0,109,0,6,67,0,0,2,0,0,0,0,6,1,0,0,0,0,30,0,0,0,2
yCRC(Fudan cohort),23,0,0,0,1,11,0,0,0,0,0,0,0,99,0,22,0,0,995,177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,1,0,96,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,76,0,0,0,1,0,0,0,0,58,0,0,0,0,0,10,17,0,0,0,24,0,0,0,2,0,0,0,70,0,0,0,0,73,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,44,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,3,0,0,0,17,0,0,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,249,399,0,0,0,0,0,0,0,0,0,0,2362,8,0,0,0,0,76,250,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),147,0,0,0,0,3,0,3,0,0,0,12,0,25,1,86,3,0,489,160,0,0,0,0,0,9,0,0,0,1,0,0,6,0,2,0,0,1,0,24,0,6,0,0,0,0,0,2,0,0,0,3,0,3,0,0,10,66,0,0,3,0,0,0,0,0,759,0,0,0,0,0,0,1,0,0,0,106,0,0,0,0,0,0,0,442,0,0,0,0,173,0,0,0,0,0,0,33,0,0,2,0,0,3,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,151,0,16,0,0,0,0,0,0,8,0,0,0,2,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,110,0,0,0,0,0,0,0,0,0,0,189,8,0,2686,0,0,20,29,0,0,0,0,0,0,0,2,0,0,0,0,0,2,9,0,0,0
yCRC(Fudan cohort),1,0,0,464,2,2,0,2,0,0,0,1,0,44,0,30,0,0,959,379,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,0,0,0,0,0,2,0,7,99,0,0,0,0,0,0,8,0,0,0,15,0,0,0,0,0,0,0,408,0,0,0,0,487,0,0,0,1,0,0,156,0,54,0,0,0,31,0,0,46,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,54,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,7,0,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15,0,1759,224,0,0,0,0,0,0,0,0,0,0,137,44,0,545,177,0,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,3,0,0
yCRC(Fudan cohort),823,0,0,1,1,1,0,1,0,0,0,0,0,141,2,13,0,0,768,82,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,75,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,94,58,0,0,0,1,0,0,6,0,91,0,0,3,0,0,0,276,0,0,0,79,0,0,0,2,0,0,0,131,0,0,0,0,310,0,0,0,0,0,0,51,0,0,0,0,0,1,0,0,26,0,0,0,0,0,211,0,0,0,0,0,0,0,0,3,0,1,0,347,0,28,0,0,0,0,0,0,58,0,2,0,19,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,36,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,1745,247,0,0,0,0,0,0,0,0,0,0,809,20,0,125,13,1,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,42,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,0,33,0,0,0,0,0,0,0,46,0,81,0,2,1909,13,0,0,0,0,0,0,0,0,0,0,0,0,382,0,22,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,149,116,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,10,0,0,0,2,0,0,0,914,0,0,1,0,0,0,1,0,0,0,0,75,0,0,19,0,0,0,0,0,128,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1524,1349,0,0,0,0,0,0,0,0,0,0,3507,12,0,2,618,0,0,118,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yCRC(Fudan cohort),64,0,0,0,3,207,0,1,0,0,0,44,0,130,1,113,0,1,1781,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,61,51,0,0,6,0,0,0,0,0,428,0,0,1,0,0,0,0,0,0,0,66,0,0,0,3,0,0,0,1044,0,0,2,0,170,0,0,0,4,0,0,102,0,0,87,0,0,5,0,0,98,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,308,0,23,0,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,138,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,72,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,5347,327,0,0,0,0,1,0,0,0,0,0,955,400,0,0,0,0,91,587,0,0,2,0,2,0,0,18,0,0,0,0,0,13,0,0,0,0
yCRC(Fudan cohort),0,0,0,0,0,16,0,0,0,0,1,0,0,10,0,50,0,0,4006,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,142,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,102,15,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2060,0,0,1,0,16,0,0,0,0,0,0,140,0,0,1,0,0,114,0,0,50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,522,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,0,0,0,2,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1255,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3389,205,0,0,0,0,0,0,0,0,0,0,212,15,0,1,30,0,32,88,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
yCRC(Fudan cohort),23,0,0,0,0,24,4,0,0,0,1,0,0,100,1,235,0,45,19,34,1,0,0,0,0,8,0,0,0,1,1,0,0,0,56,13,0,0,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,394,0,0,3,0,8,0,3,0,0,0,0,2,1,0,2,0,0,1,0,0,208,0,0,0,0,0,903,3,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,470,37,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,266,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,323,0,0,0,0,0,0,0,0,0,0,868,4,0,1,0,0,4,138,0,0,3,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0
