item,value,type
qmd_total_density_change,-0.5199999999999996,qmd_total_density_change
Dialister,0.26110848330780084,logged_relative_abundance_diff
Dialister,-0.25889151669219873,qmd_density_diff
Dialister,0.8352838206240256,qmd_diff_pvalue
Acidaminococcus,2.062863319510928,logged_relative_abundance_diff
Acidaminococcus,1.5428633195109285,qmd_density_diff
Acidaminococcus,0.11775458426659302,qmd_diff_pvalue
Clostridium_XI,2.8096747347249167,logged_relative_abundance_diff
Clostridium_XI,2.289674734724917,qmd_density_diff
Clostridium_XI,0.004260478272715362,qmd_diff_pvalue
Catenibacterium,0.5484806190164658,logged_relative_abundance_diff
Catenibacterium,0.028480619016466258,qmd_density_diff
Catenibacterium,0.9472518409632293,qmd_diff_pvalue
Rothia,0.10725080811029492,logged_relative_abundance_diff
Rothia,-0.41274919188970466,qmd_density_diff
Rothia,0.2793839274520251,qmd_diff_pvalue
Anaerostipes,-0.5199561973327337,logged_relative_abundance_diff
Anaerostipes,-1.0399561973327334,qmd_density_diff
Anaerostipes,0.0023880782213694385,qmd_diff_pvalue
Anaerotruncus,1.3178741134229073,logged_relative_abundance_diff
Anaerotruncus,0.7978741134229077,qmd_density_diff
Anaerotruncus,0.013919173460518186,qmd_diff_pvalue
Coprobacillus,0.34320816187081765,logged_relative_abundance_diff
Coprobacillus,-0.17679183812918192,qmd_density_diff
Coprobacillus,0.6396615480046433,qmd_diff_pvalue
Senegalimassilia,1.0547337290214378,logged_relative_abundance_diff
Senegalimassilia,0.5347337290214382,qmd_density_diff
Senegalimassilia,0.513656653556732,qmd_diff_pvalue
Parabacteroides,0.6920033241300816,logged_relative_abundance_diff
Parabacteroides,0.172003324130082,qmd_density_diff
Parabacteroides,0.4637588007621103,qmd_diff_pvalue
Holdemania,0.7164684543995821,logged_relative_abundance_diff
Holdemania,0.1964684543995825,qmd_density_diff
Holdemania,0.6592116158657568,qmd_diff_pvalue
Ruminococcus2,-0.054283357667661986,logged_relative_abundance_diff
Ruminococcus2,-0.5742833576676616,qmd_density_diff
Ruminococcus2,0.019221528646226504,qmd_diff_pvalue
Comamonas,1.9210515274826316,logged_relative_abundance_diff
Comamonas,1.401051527482632,qmd_density_diff
Comamonas,0.056478844931534766,qmd_diff_pvalue
Erysipelotrichaceae_incertae_sedis,0.9296579139826927,logged_relative_abundance_diff
Erysipelotrichaceae_incertae_sedis,0.40965791398269313,qmd_density_diff
Erysipelotrichaceae_incertae_sedis,0.19769645989911266,qmd_diff_pvalue
Roseburia,0.16304244179257205,logged_relative_abundance_diff
Roseburia,-0.3569575582074275,qmd_density_diff
Roseburia,0.5496668590921274,qmd_diff_pvalue
Coprococcus,0.696036863162752,logged_relative_abundance_diff
Coprococcus,0.17603686316275247,qmd_density_diff
Coprococcus,0.8176734117118831,qmd_diff_pvalue
Pseudomonas,0.10613931297564302,logged_relative_abundance_diff
Pseudomonas,-0.4138606870243565,qmd_density_diff
Pseudomonas,0.20943453946342228,qmd_diff_pvalue
Sphingobium,-0.20672111503187648,logged_relative_abundance_diff
Sphingobium,-0.7267211150318761,qmd_density_diff
Sphingobium,0.02179958515756919,qmd_diff_pvalue
Lactococcus,0.21652019172895862,logged_relative_abundance_diff
Lactococcus,-0.30347980827104093,qmd_density_diff
Lactococcus,0.3397970537871957,qmd_diff_pvalue
Corynebacterium,-0.7374659864020309,logged_relative_abundance_diff
Corynebacterium,-1.2574659864020306,qmd_density_diff
Corynebacterium,0.19905348690444602,qmd_diff_pvalue
Lactobacillus,0.34610784612325746,logged_relative_abundance_diff
Lactobacillus,-0.17389215387674212,qmd_density_diff
Lactobacillus,0.12742355437146946,qmd_diff_pvalue
Novosphingobium,0.007748329840274561,logged_relative_abundance_diff
Novosphingobium,-0.5122516701597251,qmd_density_diff
Novosphingobium,0.08136600098866387,qmd_diff_pvalue
Lachnoanaerobaculum,1.2702012370360727,logged_relative_abundance_diff
Lachnoanaerobaculum,0.7502012370360731,qmd_density_diff
Lachnoanaerobaculum,0.08783155971248702,qmd_diff_pvalue
Sphingomonas,0.5413855399830367,logged_relative_abundance_diff
Sphingomonas,0.02138553998303716,qmd_density_diff
Sphingomonas,0.7691261841446728,qmd_diff_pvalue
Olsenella,1.6658758948021142,logged_relative_abundance_diff
Olsenella,1.1458758948021146,qmd_density_diff
Olsenella,0.1371502193130676,qmd_diff_pvalue
Fusobacterium,2.781046987533433,logged_relative_abundance_diff
Fusobacterium,2.2610469875334336,qmd_density_diff
Fusobacterium,1.513092956950679e-05,qmd_diff_pvalue
Collinsella,0.4102166541212381,logged_relative_abundance_diff
Collinsella,-0.10978334587876148,qmd_density_diff
Collinsella,0.7960849333374385,qmd_diff_pvalue
Enterococcus,1.6774774250385398,logged_relative_abundance_diff
Enterococcus,1.1574774250385402,qmd_density_diff
Enterococcus,0.022573081561800157,qmd_diff_pvalue
Atopobium,0.679713287106405,logged_relative_abundance_diff
Atopobium,0.15971328710640542,qmd_density_diff
Atopobium,0.5496306946044776,qmd_diff_pvalue
Enterobacter,-0.032983389523188154,logged_relative_abundance_diff
Enterobacter,-0.5529833895231877,qmd_density_diff
Enterobacter,0.34073098411710623,qmd_diff_pvalue
Dorea,0.0801780412708743,logged_relative_abundance_diff
Dorea,-0.4398219587291253,qmd_density_diff
Dorea,0.05879047328174991,qmd_diff_pvalue
Pseudobutyrivibrio,0.3343716083767363,logged_relative_abundance_diff
Pseudobutyrivibrio,-0.18562839162326328,qmd_density_diff
Pseudobutyrivibrio,0.9467583122129186,qmd_diff_pvalue
Gardnerella,0.22666514486832656,logged_relative_abundance_diff
Gardnerella,-0.293334855131673,qmd_density_diff
Gardnerella,0.9882191459886172,qmd_diff_pvalue
Herbaspirillum,0.5064043900201228,logged_relative_abundance_diff
Herbaspirillum,-0.013595609979876744,qmd_density_diff
Herbaspirillum,0.7916099504418539,qmd_diff_pvalue
Methanobrevibacter,1.686940164415449,logged_relative_abundance_diff
Methanobrevibacter,1.1669401644154493,qmd_density_diff
Methanobrevibacter,0.09609232616500418,qmd_diff_pvalue
Leptotrichia,1.451768222926905,logged_relative_abundance_diff
Leptotrichia,0.9317682229269055,qmd_density_diff
Leptotrichia,0.2722535987769894,qmd_diff_pvalue
Aggregatibacter,1.8664028067742684,logged_relative_abundance_diff
Aggregatibacter,1.3464028067742688,qmd_density_diff
Aggregatibacter,0.29378953289166754,qmd_diff_pvalue
Burkholderia,1.5595620222261792,logged_relative_abundance_diff
Burkholderia,1.0395620222261797,qmd_density_diff
Burkholderia,0.012631085642369033,qmd_diff_pvalue
Peptostreptococcus,2.9128928603152184,logged_relative_abundance_diff
Peptostreptococcus,2.392892860315219,qmd_density_diff
Peptostreptococcus,3.4676654880883007e-07,qmd_diff_pvalue
Clostridium_III,1.7702827362108915,logged_relative_abundance_diff
Clostridium_III,1.250282736210892,qmd_density_diff
Clostridium_III,0.1821610868022645,qmd_diff_pvalue
Haemophilus,-0.16105947646549507,logged_relative_abundance_diff
Haemophilus,-0.6810594764654947,qmd_density_diff
Haemophilus,0.13268533221665213,qmd_diff_pvalue
Kluyvera,0.48857103589074063,logged_relative_abundance_diff
Kluyvera,-0.03142896410925894,qmd_density_diff
Kluyvera,0.6365024484153192,qmd_diff_pvalue
Clostridium_XVIII,0.23887767707246804,logged_relative_abundance_diff
Clostridium_XVIII,-0.28112232292753153,qmd_density_diff
Clostridium_XVIII,0.6070620476836668,qmd_diff_pvalue
Clostridium_XlVb,0.8198690070973618,logged_relative_abundance_diff
Clostridium_XlVb,0.2998690070973622,qmd_density_diff
Clostridium_XlVb,0.3938043854416944,qmd_diff_pvalue
Leuconostoc,-0.18773575019062977,logged_relative_abundance_diff
Leuconostoc,-0.7077357501906294,qmd_density_diff
Leuconostoc,0.5823193257723172,qmd_diff_pvalue
Pseudoflavonifractor,1.0739063804538374,logged_relative_abundance_diff
Pseudoflavonifractor,0.5539063804538378,qmd_density_diff
Pseudoflavonifractor,0.11396022723804311,qmd_diff_pvalue
