item,logged_relative_abundance_diff,qmd_diff_pvalue,qmd_density_diff,qmd_diff_qvalue,differentially_abundant_taxa
Romboutsia,-1.23002260648825,1.5045891843534775e-07,-1.7500226064882496,1.1359648341868755e-05,Yes
Escherichia/Shigella,-1.1676551194458153,3.1327246571288825e-05,-1.687655119445815,0.0008267950564102249,Yes
Staphylococcus,-1.0669186283854728,0.034288144528128894,-1.5869186283854724,0.16047551802314572,No
Clostridium_sensu_stricto,-0.9842428056387252,3.832824764815612e-05,-1.5042428056387247,0.0008267950564102249,Yes
Blautia,-0.8031043359981167,1.5350729576368849e-09,-1.3231043359981163,2.3179601660316962e-07,Yes
Corynebacterium,-0.7374659864020309,0.19905348690444602,-1.2574659864020306,0.429386807465305,No
Eubacterium,-0.648390328536137,3.6785188639587574e-05,-1.1683903285361366,0.0008267950564102249,Yes
Lachnospiracea_incertae_sedis,-0.5554044468744658,6.192277262728751e-05,-1.0754044468744652,0.0011687923333400518,Yes
Anaerostipes,-0.5199561973327337,0.0023880782213694385,-1.0399561973327334,0.026059090940256935,Yes
Raoultella,-0.4849092520833598,0.23267938939538801,-1.0049092520833594,0.4562933480351115,No
Limnobacter,-0.45697247060079493,0.018397780006085718,-0.9769724706007945,0.1035383082926608,No
Arthrobacter,-0.3376233234332614,0.2748289057603852,-0.857623323433261,0.48822546788021376,No
Slackia,-0.3228790486946425,0.29126824929651063,-0.842879048694642,0.49845190411957074,No
Methylophaga,-0.3152612943326395,0.018513472343720805,-0.8352612943326391,0.1035383082926608,No
Faecalibacterium,-0.29727876222779964,0.002896609052570387,-0.8172787622277993,0.029008007036175842,Yes
Gemmiger,-0.2948956243141825,0.038573557732699104,-0.814895624314182,0.1617946449343768,No
Curvibacter,-0.24211108416918137,0.19019953530563227,-0.7621110841691809,0.42865865419627575,No
Ramlibacter,-0.22699872996411521,0.06127139058836506,-0.7469987299641148,0.22366869529158648,No
Hydrogenoanaerobacterium,-0.2106157444629317,0.09046953865367269,-0.7306157444629313,0.2787938844225424,No
Sphingobium,-0.20672111503187648,0.02179958515756919,-0.7267211150318761,0.11350818478596371,No
Klebsiella,-0.19660237715674492,0.15940488232252337,-0.7166023771567445,0.38206567032858774,No
Leuconostoc,-0.18773575019062977,0.5823193257723172,-0.7077357501906294,0.7695870266828969,No
Streptococcus,-0.17305925333715858,0.030844451457364253,-0.6930592533371581,0.1502423280665162,No
Phascolarctobacterium,-0.16940375587717488,0.05208660561416956,-0.6894037558771744,0.2069757223089369,No
Haemophilus,-0.16105947646549507,0.13268533221665213,-0.6810594764654947,0.33958449431719445,No
Parasutterella,-0.1458620943874929,0.11329557890476538,-0.6658620943874924,0.3186665613508243,No
Acidovorax,-0.09946078320098332,0.6217050987995507,-0.6194607832009829,0.7704732745172251,No
Achromobacter,-0.08788621282473737,0.30743418193980965,-0.607886212824737,0.5115570966788271,No
Ruminococcus2,-0.054283357667661986,0.019221528646226504,-0.5742833576676616,0.1036589580564358,No
Enterobacter,-0.032983389523188154,0.34073098411710623,-0.5529833895231877,0.5359414437675316,No
Acinetobacter,0.0018764903684012886,0.39416640257504154,-0.5181235096315983,0.607338028457462,No
Novosphingobium,0.007748329840274561,0.08136600098866387,-0.5122516701597251,0.26140991806996267,No
Actinomyces,0.01274831863967171,0.0371963121245702,-0.5072516813603278,0.16047551802314572,No
Anaerofilum,0.040280717489419846,0.676735088525698,-0.4797192825105797,0.7921472741657395,No
Citrobacter,0.04243735337877612,0.23144315729139575,-0.47756264662122344,0.4562933480351115,No
Rhizobacter,0.05649376577772973,0.2839767892680225,-0.46350623422226983,0.4928792549364529,No
Dorea,0.0801780412708743,0.05879047328174991,-0.4398219587291253,0.2219340366386059,No
Pseudomonas,0.10613931297564302,0.20943453946342228,-0.4138606870243565,0.4454171191405178,No
Rothia,0.10725080811029492,0.2793839274520251,-0.41274919188970466,0.4905461982006487,No
Hydrogenophaga,0.12928654821753688,0.17838991597955922,-0.3907134517824627,0.4144134971217453,No
Murimonas,0.12989195301560363,0.23644473177493297,-0.39010804698439594,0.4567739975858122,No
Sphingopyxis,0.13500076746902395,0.2260206223742991,-0.3849992325309756,0.4562933480351115,No
Brevundimonas,0.14197501631568735,0.5159050983542914,-0.37802498368431225,0.7362926800575124,No
Bilophila,0.14302901411016514,0.15156417846362125,-0.37697098588983446,0.375183458164046,No
Intestinibacter,0.15881523077441986,0.423932539475538,-0.36118476922557974,0.6401381346080623,No
Roseburia,0.16304244179257205,0.5496668590921274,-0.3569575582074275,0.7473955167697424,No
Howardella,0.19391581167691954,0.616430490580631,-0.32608418832308006,0.7704732745172251,No
Lactococcus,0.21652019172895862,0.3397970537871957,-0.30347980827104093,0.5359414437675316,No
Gardnerella,0.22666514486832656,0.9882191459886172,-0.293334855131673,0.9919402721812189,No
Ralstonia,0.2378446283207328,0.7933847325700238,-0.28215537167926674,0.8820129854141809,No
Clostridium_XVIII,0.23887767707246804,0.6070620476836668,-0.28112232292753153,0.7704732745172251,No
Dialister,0.26110848330780084,0.8352838206240256,-0.25889151669219873,0.8820129854141809,No
Catabacter,0.2902639298559948,0.3339736073499011,-0.22973607014400477,0.5359414437675316,No
Oxalobacter,0.3197589309621294,0.31175109660275346,-0.2002410690378702,0.5116784302936497,No
Pseudobutyrivibrio,0.3343716083767363,0.9467583122129186,-0.18562839162326328,0.9730274012615485,No
Methyloversatilis,0.3379659110774379,0.652911416791834,-0.18203408892256168,0.7762962514611569,No
Allisonella,0.33810998895563593,0.6422826493168201,-0.18189001104436364,0.7704732745172251,No
Coprobacillus,0.34320816187081765,0.6396615480046433,-0.17679183812918192,0.7704732745172251,No
Proteus,0.3440226188991761,0.2684721086648083,-0.17597738110082345,0.48822546788021376,No
