,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
0,Dialister,107,82,0.722972972972973,0.5694444444444444,0.0003163602549876718
1,Acidaminococcus,28,18,0.1891891891891892,0.125,0.0
2,Clostridium_XI,39,15,0.2635135135135135,0.10416666666666667,0.0
3,Catenibacterium,25,21,0.16891891891891891,0.14583333333333334,0.0
4,Rothia,97,77,0.6554054054054054,0.5347222222222222,7.748869499799153e-05
5,Anaerostipes,134,119,0.9054054054054054,0.8263888888888888,0.0008932709249353325
6,Paraeggerthella,1,9,0.006756756756756757,0.0625,0
7,Anaerotruncus,67,66,0.4527027027027027,0.4583333333333333,0.0
8,Coprobacillus,35,17,0.23648648648648649,0.11805555555555555,0.0
9,Treponema,0,1,0.0,0.006944444444444444,0
10,Serratia,13,4,0.08783783783783784,0.027777777777777776,0.0
11,Senegalimassilia,29,29,0.19594594594594594,0.2013888888888889,0.0
12,Alloscardovia,0,1,0.0,0.006944444444444444,0
13,Parabacteroides,135,126,0.9121621621621622,0.875,0.003279104414868594
14,Holdemania,79,75,0.5337837837837838,0.5208333333333334,3.0713969997636875e-05
15,Ruminococcus2,143,125,0.9662162162162162,0.8680555555555556,0.005493726980108505
16,Comamonas,15,6,0.10135135135135136,0.041666666666666664,0.0
17,Erysipelotrichaceae_incertae_sedis,87,69,0.5878378378378378,0.4791666666666667,4.526103500205837e-05
18,Roseburia,144,133,0.972972972972973,0.9236111111111112,0.024763286631968195
19,Coprococcus,129,109,0.8716216216216216,0.7569444444444444,0.004372710274474841
20,Pseudomonas,68,75,0.4594594594594595,0.5208333333333334,0.0
21,Bulleidia,7,5,0.0472972972972973,0.034722222222222224,0.0
22,Sphingobium,17,18,0.11486486486486487,0.125,0.0
23,Lactococcus,37,21,0.25,0.14583333333333334,0.0
24,Corynebacterium,38,9,0.25675675675675674,0.0625,0.0
25,Lactobacillus,95,62,0.6418918918918919,0.4305555555555556,0.00017396059500664966
26,Catonella,0,6,0.0,0.041666666666666664,0
27,Novosphingobium,19,17,0.12837837837837837,0.11805555555555555,0.0
28,Oceanobacillus,14,0,0.0945945945945946,0.0,0.0
29,Lachnoanaerobaculum,45,35,0.30405405405405406,0.24305555555555555,0.0
30,Sphingomonas,42,33,0.28378378378378377,0.22916666666666666,0.0
31,Olsenella,36,34,0.24324324324324326,0.2361111111111111,0.0
32,Fusobacterium,101,97,0.6824324324324325,0.6736111111111112,6.651737499733978e-05
33,Vibrionimonas,1,2,0.006756756756756757,0.013888888888888888,0
34,Collinsella,126,107,0.8513513513513513,0.7430555555555556,0.0013524446750859422
35,Enterococcus,62,41,0.4189189189189189,0.2847222222222222,0.0
36,Anaerosporobacter,0,1,0.0,0.006944444444444444,0
37,Atopobium,80,68,0.5405405405405406,0.4722222222222222,3.067056499953558e-05
38,Enterobacter,71,36,0.4797297297297297,0.25,0.0
39,Dorea,136,124,0.918918918918919,0.8611111111111112,0.005764909115144166
40,Pseudobutyrivibrio,13,9,0.08783783783783784,0.0625,0.0
41,Gardnerella,32,10,0.21621621621621623,0.06944444444444445,0.0
42,Vagococcus,0,0,0.0,0.0,0
43,Herbaspirillum,17,21,0.11486486486486487,0.14583333333333334,0.0
44,Adlercreutzia,22,0,0.14864864864864866,0.0,0.0
45,Schlegelella,23,0,0.1554054054054054,0.0,0.0
46,Methanobrevibacter,13,7,0.08783783783783784,0.04861111111111111,0.0
47,Leptotrichia,12,15,0.08108108108108109,0.10416666666666667,0.0
48,Aggregatibacter,23,6,0.1554054054054054,0.041666666666666664,0.0
49,Burkholderia,65,30,0.4391891891891892,0.20833333333333334,0.0
50,Propionibacterium,19,0,0.12837837837837837,0.0,0.0
51,Peptostreptococcus,58,77,0.3918918918918919,0.5347222222222222,0.0
52,Clostridium_III,11,19,0.07432432432432433,0.13194444444444445,0.0
53,Haemophilus,106,64,0.7162162162162162,0.4444444444444444,0.00019871502000201878
54,Eikenella,1,10,0.006756756756756757,0.06944444444444445,0
55,Kluyvera,8,8,0.05405405405405406,0.05555555555555555,0.0
56,Clostridium_XVIII,148,137,1.0,0.9513888888888888,0.004443687944600685
57,Clostridium_XlVb,137,126,0.9256756756756757,0.875,0.0015770259948984094
58,Leuconostoc,30,9,0.20270270270270271,0.0625,0.0
59,Succinivibrio,3,1,0.02027027027027027,0.006944444444444444,0.0
60,Pseudoflavonifractor,63,55,0.42567567567567566,0.3819444444444444,0.0
61,Weissella,49,26,0.3310810810810811,0.18055555555555555,0.0
62,Mobilitalea,0,1,0.0,0.006944444444444444,0
63,Howardella,12,31,0.08108108108108109,0.2152777777777778,0.0
64,Parvimonas,47,88,0.31756756756756754,0.6111111111111112,0.0
65,Holdemanella,38,32,0.25675675675675674,0.2222222222222222,0.0
66,Ruminococcus,129,104,0.8716216216216216,0.7222222222222222,0.004325587614783122
67,Hydrogenophaga,36,30,0.24324324324324326,0.20833333333333334,0.0
68,Asaccharobacter,50,32,0.33783783783783783,0.2222222222222222,0.0
69,Gemella,100,85,0.6756756756756757,0.5902777777777778,6.32755600038161e-05
70,Vogesella,1,0,0.006756756756756757,0.0,0
71,Abiotrophia,42,26,0.28378378378378377,0.18055555555555555,0.0
72,Akkermansia,79,51,0.5337837837837838,0.3541666666666667,4.247945999457822e-05
73,Parasutterella,113,85,0.7635135135135135,0.5902777777777778,0.0005646029749915925
74,Arthrobacter,31,7,0.20945945945945946,0.04861111111111111,0.0
75,Rhodopseudomonas,6,11,0.04054054054054054,0.0763888888888889,0.0
76,Aeromonas,17,5,0.11486486486486487,0.034722222222222224,0.0
